Variable,Unit
Emissions|CO2|Energy|Demand|Transportation|Road|Passenger|Bus,Mt CO2/yr
Emissions|CO2|Energy|Demand|Transportation|Road|Passenger|LDV,Mt CO2/yr
Emissions|CO2|Energy|Supply,Mt CO2/yr
Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr
Emissions|CO2|Energy|Supply|Gases,Mt CO2/yr
Emissions|CO2|Energy|Supply|Heat,Mt CO2/yr
Emissions|CO2|Energy|Supply|Liquids,Mt CO2/yr
Emissions|CO2|Energy|Supply|Other Sector,Mt CO2/yr
Emissions|CO2|Energy|Supply|Solids,Mt CO2/yr
Emissions|CO2|Industrial Processes,Mt CO2/yr
Emissions|CO2|Industrial Processes|Cement,Mt CO2/yr
Emissions|CO2|Industrial Processes|Chemicals,Mt CO2/yr
Emissions|CO2|Industrial Processes|Chemicals|Ammonia,Mt CO2/yr
Emissions|CO2|Industrial Processes|Chemicals|High value chemicals,Mt CO2/yr
Emissions|CO2|Industrial Processes|Chemicals|Methanol,Mt CO2/yr
Emissions|CO2|Industrial Processes|Chemicals|Other,Mt CO2/yr
Emissions|CO2|Industrial Processes|Non-ferrous metals,Mt CO2/yr
Emissions|CO2|Industrial Processes|Other,Mt CO2/yr
Emissions|CO2|Industrial Processes|Pulp and Paper,Mt CO2/yr
Emissions|CO2|Industrial Processes|Steel,Mt CO2/yr
Emissions|CO2|Other,Mt CO2/yr
Emissions|CO2|Waste,Mt CO2/yr
Emissions|CO|AFOLU,Mt CO/yr
Emissions|CO|AFOLU|Agriculture,Mt CO/yr
Emissions|CO|AFOLU|Land,Mt CO/yr
Emissions|CO|Energy,Mt CO/yr
Emissions|CO|Energy|Demand|Industry,Mt CO/yr
Emissions|CO|Energy|Demand|Residential and Commercial,Mt CO/yr
Emissions|CO|Energy|Demand|Residential and Commercial|Commercial,Mt CO/yr
Emissions|CO|Energy|Demand|Residential and Commercial|Residential,Mt CO/yr
Emissions|CO|Energy|Demand|Transportation,Mt CO/yr
Emissions|CO|Energy|Supply,Mt CO/yr
Emissions|CO|Industrial Processes,Mt CO/yr
Emissions|CO|Other,Mt CO/yr
Emissions|CO|Waste,Mt CO/yr
Emissions|F-Gases,Mt CO2-equiv/yr
Emissions|HFC,kt HFC134a-equiv/yr
Emissions|HFC|HFC125,kt HFC125/yr
Emissions|HFC|HFC134a,kt HFC134a/yr
Emissions|HFC|HFC143a,kt HFC143a/yr
Emissions|HFC|HFC227ea,kt HFC227ea/yr
Emissions|HFC|HFC23,kt HFC23/yr
Emissions|HFC|HFC245fa,kt HFC245fa/yr
Emissions|HFC|HFC32,kt HFC32/yr
Emissions|HFC|HFC43-10,kt HFC43-10/yr
Emissions|HFC|Industrial Processes,Mt CO2-equiv/yr
Emissions|Kyoto Gases,Mt CO2-equiv/yr
Emissions|N2O,kt N2O/yr
Emissions|N2O|AFOLU,kt N2O/yr
Emissions|N2O|AFOLU|Agriculture,kt N2O/yr
Emissions|N2O|AFOLU|Agriculture|Livestock|Manure Management,kt N2O/yr
Emissions|N2O|AFOLU|Agriculture|Managed Soils,kt N2O/yr
Emissions|N2O|AFOLU|Land,kt N2O/yr
Emissions|N2O|Energy,kt N2O/yr
Emissions|N2O|Energy|Demand|Residential and Commercial|Commercial,kt N2O/yr
Emissions|N2O|Energy|Demand|Residential and Commercial|Residential,kt N2O/yr
Emissions|N2O|Energy|Demand|Transportation,kt N2O/yr
Emissions|N2O|Industrial Processes,kt N2O/yr
Emissions|N2O|Industrial Processes|Chemicals,kt N2O/yr
Emissions|N2O|Other,kt N2O/yr
Emissions|N2O|Waste,kt N2O/yr
Emissions|NH3,Mt NH3/yr
Emissions|NH3|AFOLU,Mt NH3/yr
Emissions|NH3|AFOLU|Agriculture,Mt NH3/yr
Emissions|NH3|AFOLU|Land,Mt NH3/yr
Emissions|NH3|Energy,Mt NH3/yr
Emissions|NH3|Energy|Demand|Industry,Mt NH3/yr
Emissions|NH3|Energy|Demand|Residential and Commercial,Mt NH3/yr
Emissions|NH3|Energy|Demand|Transportation,Mt NH3/yr
Emissions|NH3|Energy|Supply,Mt NH3/yr
Emissions|NH3|Industrial Processes,Mt NH3/yr
Emissions|NH3|Other,Mt NH3/yr
Emissions|NH3|Waste,Mt NH3/yr
Emissions|NOx,Mt NO2/yr
Emissions|NOx|AFOLU,Mt NO2/yr
Emissions|NOx|AFOLU|Agriculture,Mt NO2/yr
Emissions|NOx|AFOLU|Land,Mt NO2/yr
Emissions|NOx|Energy,Mt NO2/yr
Emissions|NOx|Energy|Demand|Industry,Mt NO2/yr
Emissions|NOx|Energy|Demand|Residential and Commercial,Mt NO2/yr
Emissions|NOx|Energy|Demand|Residential and Commercial|Commercial,Mt NO2/yr
Emissions|NOx|Energy|Demand|Residential and Commercial|Residential,Mt NO2/yr
Emissions|NOx|Energy|Demand|Transportation,Mt NO2/yr
Emissions|NOx|Energy|Supply,Mt NO2/yr
Emissions|NOx|Industrial Processes,Mt NO2/yr
Emissions|NOx|Other,Mt NO2/yr
Emissions|NOx|Waste,Mt NO2/yr
Emissions|OC,Mt OC/yr
Emissions|OC|AFOLU,Mt OC/yr
Emissions|OC|AFOLU|Agriculture,Mt OC/yr
Emissions|OC|AFOLU|Land,Mt OC/yr
Emissions|OC|Energy,Mt OC/yr
Emissions|OC|Energy|Demand|Industry,Mt OC/yr
Emissions|OC|Energy|Demand|Residential and Commercial,Mt OC/yr
Emissions|OC|Energy|Demand|Residential and Commercial|Commercial,Mt CO2/yr
Emissions|OC|Energy|Demand|Residential and Commercial|Residential,Mt CO2/yr
Emissions|OC|Energy|Demand|Transportation,Mt OC/yr
Emissions|OC|Energy|Supply,Mt OC/yr
Emissions|OC|Industrial Processes,Mt OC/yr
Emissions|OC|Other,Mt OC/yr
Emissions|OC|Waste,Mt OC/yr
Emissions|PFC,kt CF4-equiv/yr
Emissions|PFC|C2F6,kt C2F6/yr
Emissions|PFC|C6F14,kt C6F14/yr
Emissions|PFC|CF4,kt CF4/yr
Emissions|PM2.5,Mt PM2.5
Emissions|SF6,kt SF6/yr
Emissions|Sulfur,Mt SO2/yr
Emissions|Sulfur|AFOLU,Mt SO2/yr
Emissions|Sulfur|AFOLU|Agriculture,Mt SO2/yr
Emissions|Sulfur|AFOLU|Land,Mt SO2/yr
Emissions|Sulfur|Energy,Mt SO2/yr
Emissions|Sulfur|Energy|Demand|Industry,Mt SO2/yr
Emissions|Sulfur|Energy|Demand|Residential and Commercial,Mt SO2/yr
Emissions|Sulfur|Energy|Demand|Residential and Commercial|Commercial,Mt SO2/yr
Emissions|Sulfur|Energy|Demand|Residential and Commercial|Residential,Mt SO2/yr
Emissions|Sulfur|Energy|Demand|Transportation,Mt SO2/yr
Emissions|Sulfur|Energy|Supply,Mt SO2/yr
Emissions|Sulfur|Industrial Processes,Mt SO2/yr
Emissions|Sulfur|Other,Mt SO2/yr
Emissions|Sulfur|Waste,Mt SO2/yr
Emissions|VOC,Mt VOC/yr
Emissions|VOC|AFOLU,Mt VOC/yr
Emissions|VOC|AFOLU|Agriculture,Mt VOC/yr
Emissions|VOC|AFOLU|Land,Mt VOC/yr
Emissions|VOC|Energy,Mt VOC/yr
Emissions|VOC|Energy|Demand|Industry,Mt VOC/yr
Emissions|VOC|Energy|Demand|Residential and Commercial,Mt VOC/yr
Emissions|VOC|Energy|Demand|Residential and Commercial|Commercial,Mt VOC/yr
Emissions|VOC|Energy|Demand|Residential and Commercial|Residential,Mt VOC/yr
Emissions|VOC|Energy|Demand|Transportation,Mt VOC/yr
Emissions|VOC|Energy|Supply,Mt VOC/yr
Emissions|VOC|Industrial Processes,Mt VOC/yr
Emissions|VOC|Other,Mt VOC/yr
Emissions|VOC|Waste,Mt VOC/yr
Employment,million
Employment|Agriculture,million
Employment|Industry,million
Employment|Industry|Energy ,million
Employment|Industry|Energy Intensive,million
Employment|Industry|Manufacturing,million
Employment|Service,million
Energy Service|Residential and Commercial|Commercial|Floor Space,bn m2/yr
Energy Service|Residential and Commercial|Floor Space,bn m2/yr
Energy Service|Residential and Commercial|Residential|Floor Space,bn m2/yr
Energy Service|Transportation|Aviation,bn vkm/yr
Energy Service|Transportation|Freight,bn tkm/yr
Energy Service|Transportation|Freight|Aviation,bn tkm/yr
Energy Service|Transportation|Freight|International Shipping,bn tkm/yr
Energy Service|Transportation|Freight|Navigation,bn tkm/yr
Energy Service|Transportation|Freight|Railways,bn tkm/yr
Energy Service|Transportation|Freight|Road,bn tkm/yr
Energy Service|Transportation|Navigation,bn vkm/yr
Energy Service|Transportation|Passenger,bn pkm/yr
Energy Service|Transportation|Passenger|Aviation,bn pkm/yr
Energy Service|Transportation|Passenger|Bicycling and Walking,bn pkm/yr
Energy Service|Transportation|Passenger|Railways,bn pkm/yr
Energy Service|Transportation|Passenger|Road,bn pkm/yr
Energy Service|Transportation|Passenger|Road|2W and 3W,bn pkm/yr
Energy Service|Transportation|Passenger|Road|Bus,bn pkm/yr
Energy Service|Transportation|Passenger|Road|LDV,bn pkm/yr
Energy Service|Transportation|Rail,bn vkm/yr
Energy Service|Transportation|Road,bn vkm/yr
Eutrophication|Marine|Electricity,Tg N-eq/yr
Expenditure|Energy|Fossil,billion US$2010/yr
Expenditure|Medical System|Incremental,million Ha/yr
Expenditure|Medical System|Incremental,billion US$2010/yr
Expenditure|RnD,billion US$2010/yr
Expenditure|government,billion US$2010/yr
Expenditure|household,billion US$2010/yr
Expenditure|household,EJ
Expenditure|household|Energy,million Ha/yr
Expenditure|household|Energy,billion US$2010/yr
Expenditure|household|Food,million Ha/yr
Expenditure|household|Food,billion US$2010/yr
Expenditure|household|Industry,billion US$2010/yr
Expenditure|household|Services,million Ha/yr
Expenditure|household|Services,billion US$2010/yr
Expenditure|household|Services|health,billion US$2010/yr
Export,billion US$2010/yr
Export|Agriculture,billion US$2010/yr
Export|Energy,billion US$2010/yr
Export|Industry,billion US$2010/yr
Export|Industry|Energy,billion US$2010/yr
Export|Industry|Energy Intensive,billion US$2010/yr
Export|Industry|Manufacturing,billion US$2010/yr
Export|Other,billion US$2010/yr
Fertilizer Use|Nitrogen,Tg N/yr
Fertilizer Use|Phosphorus,Tg P/yr
Final Energy,EJ/yr
Final Energy (excl. feedstocks)|Industry,EJ/yr
Final Energy (excl. feedstocks)|Industry|Electricity,EJ/yr
Final Energy (excl. feedstocks)|Industry|Gases,EJ/yr
Final Energy (excl. feedstocks)|Industry|Gases|Bioenergy,EJ/yr
Final Energy (excl. feedstocks)|Industry|Gases|Fossil,EJ/yr
Final Energy (excl. feedstocks)|Industry|Gases|Hydrogen synfuel,EJ/yr
Final Energy (excl. feedstocks)|Industry|Heat,EJ/yr
Final Energy (excl. feedstocks)|Industry|Hydrogen,EJ/yr
Final Energy (excl. feedstocks)|Industry|Liquids,EJ/yr
Final Energy (excl. feedstocks)|Industry|Liquids|Bioenergy,EJ/yr
Final Energy (excl. feedstocks)|Industry|Liquids|Fossil,EJ/yr
Final Energy (excl. feedstocks)|Industry|Liquids|Hydrogen synfuel,EJ/yr
Final Energy (excl. feedstocks)|Industry|Other,EJ/yr
Final Energy (excl. feedstocks)|Industry|Solids,EJ/yr
Final Energy (excl. feedstocks)|Industry|Solids|Bioenergy,EJ/yr
Final Energy (excl. feedstocks)|Industry|Solids|Fossil,EJ/yr
Final Energy|Electricity,EJ/yr
Final Energy|Gases,EJ/yr
Final Energy|Geothermal,EJ/yr
Final Energy|Heat,EJ/yr
Final Energy|Hydrogen,EJ/yr
Final Energy|Industry,EJ/yr
Final Energy|Industry|Cement|Electricity,EJ/yr
Final Energy|Industry|Cement|Gases,EJ/yr
Final Energy|Industry|Cement|Gases|Bioenergy,EJ/yr
Final Energy|Industry|Cement|Gases|Fossil,EJ/yr
Final Energy|Industry|Cement|Gases|Hydrogen synfuel,EJ/yr
Final Energy|Industry|Cement|Heat,EJ/yr
Final Energy|Industry|Cement|Hydrogen,EJ/yr
Final Energy|Industry|Cement|Liquids,EJ/yr
Final Energy|Industry|Cement|Liquids|Bioenergy,EJ/yr
Final Energy|Industry|Cement|Liquids|Fossil,EJ/yr
Final Energy|Industry|Cement|Liquids|Hydrogen synfuel,EJ/yr
Final Energy|Industry|Cement|Other,EJ/yr
Final Energy|Industry|Cement|Solids,EJ/yr
Final Energy|Industry|Cement|Solids|Bioenergy,EJ/yr
Final Energy|Industry|Cement|Solids|Fossil,EJ/yr
Final Energy|Industry|Chemicals|Ammonia|Electricity,EJ/yr
Final Energy|Industry|Chemicals|Ammonia|Gases,EJ/yr
Final Energy|Industry|Chemicals|Ammonia|Gases|Bioenergy,EJ/yr
Final Energy|Industry|Chemicals|Ammonia|Gases|Fossil,EJ/yr
Final Energy|Industry|Chemicals|Ammonia|Heat,EJ/yr
Final Energy|Industry|Chemicals|Ammonia|Hydrogen,EJ/yr
Final Energy|Industry|Chemicals|Ammonia|Liquids,EJ/yr
Final Energy|Industry|Chemicals|Ammonia|Liquids|Bioenergy,EJ/yr
Final Energy|Industry|Chemicals|Ammonia|Liquids|Fossil,EJ/yr
Final Energy|Industry|Chemicals|Ammonia|Other,EJ/yr
Final Energy|Industry|Chemicals|Ammonia|Solids,EJ/yr
Final Energy|Industry|Chemicals|Ammonia|Solids|Bioenergy,EJ/yr
Final Energy|Industry|Chemicals|Ammonia|Solids|Fossil,EJ/yr
Final Energy|Industry|Chemicals|Electricity,EJ/yr
Final Energy|Industry|Chemicals|Gases,EJ/yr
Final Energy|Industry|Chemicals|Gases|Bioenergy,EJ/yr
Final Energy|Industry|Chemicals|Gases|Fossil,EJ/yr
Final Energy|Industry|Chemicals|Gases|Hydrogen synfuel,EJ/yr
Final Energy|Industry|Chemicals|Heat,EJ/yr
Final Energy|Industry|Chemicals|High value chemicals|Electricity,EJ/yr
Final Energy|Industry|Chemicals|High value chemicals|Gases,EJ/yr
Final Energy|Industry|Chemicals|High value chemicals|Gases|Fossil,EJ/yr
Final Energy|Industry|Chemicals|High value chemicals|Liquids,EJ/yr
Final Energy|Industry|Chemicals|High value chemicals|Liquids|Bioenergy,EJ/yr
Final Energy|Industry|Chemicals|High value chemicals|Liquids|Fossil,EJ/yr
Final Energy|Industry|Chemicals|High value chemicals|Solids,EJ/yr
Final Energy|Industry|Chemicals|High value chemicals|Solids|Bioenergy,EJ/yr
Final Energy|Industry|Chemicals|High value chemicals|Solids|Fossil,EJ/yr
Final Energy|Industry|Chemicals|Hydrogen,EJ/yr
Final Energy|Industry|Chemicals|Liquids,EJ/yr
Final Energy|Industry|Chemicals|Liquids|Bioenergy,EJ/yr
Final Energy|Industry|Chemicals|Liquids|Fossil,EJ/yr
Final Energy|Industry|Chemicals|Liquids|Hydrogen synfuel,EJ/yr
Final Energy|Industry|Chemicals|Other,EJ/yr
Final Energy|Industry|Chemicals|Solids,EJ/yr
Final Energy|Industry|Chemicals|Solids|Bioenergy,EJ/yr
Final Energy|Industry|Chemicals|Solids|Fossil,EJ/yr
Final Energy|Industry|Electricity,EJ/yr
Final Energy|Industry|Gases,EJ/yr
Final Energy|Industry|Gases|,EJ/yr
Final Energy|Industry|Gases|Bioenergy,EJ/yr
Final Energy|Industry|Gases|Fossil,EJ/yr
Final Energy|Industry|Gases|Hydrogen synfuel,EJ/yr
Final Energy|Industry|Heat,EJ/yr
Final Energy|Industry|Hydrogen,EJ/yr
Final Energy|Industry|Liquids,EJ/yr
Final Energy|Industry|Liquids|,EJ/yr
Final Energy|Industry|Liquids|Bioenergy,EJ/yr
Final Energy|Industry|Liquids|Fossil,EJ/yr
Final Energy|Industry|Liquids|Hydrogen synfuel,EJ/yr
Final Energy|Industry|Liquids|Oil,EJ/yr
Final Energy|Industry|Other,EJ/yr
Final Energy|Industry|Other|Electricity,EJ/yr
Final Energy|Industry|Other|Gases,EJ/yr
Final Energy|Industry|Other|Gases|Fossil,EJ/yr
Final Energy|Industry|Other|Heat,EJ/yr
Final Energy|Industry|Other|Hydrogen,EJ/yr
Final Energy|Industry|Other|Liquids,EJ/yr
Final Energy|Industry|Other|Liquids|Bioenergy,EJ/yr
Final Energy|Industry|Other|Liquids|Fossil,EJ/yr
Final Energy|Industry|Other|Solids,EJ/yr
Final Energy|Industry|Other|Solids|Bioenergy,EJ/yr
Final Energy|Industry|Other|Solids|Fossil,EJ/yr
Final Energy|Industry|Solids,EJ/yr
Final Energy|Industry|Solids|Biomass,EJ/yr
Final Energy|Industry|Solids|Coal,EJ/yr
Final Energy|Industry|Steel|Electricity,EJ/yr
Final Energy|Industry|Steel|Gases,EJ/yr
Final Energy|Industry|Steel|Gases|Bioenergy,EJ/yr
Final Energy|Industry|Steel|Gases|Fossil,EJ/yr
Final Energy|Industry|Steel|Gases|Hydrogen synfuel,EJ/yr
Final Energy|Industry|Steel|Heat,EJ/yr
Final Energy|Industry|Steel|Hydrogen,EJ/yr
Final Energy|Industry|Steel|Liquids,EJ/yr
Final Energy|Industry|Steel|Liquids|Bioenergy,EJ/yr
Final Energy|Industry|Steel|Liquids|Fossil,EJ/yr
Final Energy|Industry|Steel|Liquids|Hydrogen synfuel,EJ/yr
Final Energy|Industry|Steel|Other,EJ/yr
Final Energy|Industry|Steel|Solids,EJ/yr
Final Energy|Industry|Steel|Solids|Bioenergy,EJ/yr
Final Energy|Industry|Steel|Solids|Fossil,EJ/yr
Final Energy|Liquids,EJ/yr
Final Energy|Non-Energy Use,EJ/yr
Final Energy|Non-Energy Use|Biomass,EJ/yr
Final Energy|Non-Energy Use|Coal,EJ/yr
Final Energy|Non-Energy Use|Gas,EJ/yr
Final Energy|Non-Energy Use|Oil,EJ/yr
Final Energy|Other,EJ/yr
Final Energy|Other Sector,EJ/yr
Final Energy|Other Sector|Electricity,EJ/yr
Final Energy|Other Sector|Gases,EJ/yr
Final Energy|Other Sector|Heat,EJ/yr
Final Energy|Other Sector|Hydrogen,EJ/yr
Final Energy|Other Sector|Liquids,EJ/yr
Final Energy|Other Sector|Other,EJ/yr
Final Energy|Other Sector|Solids,EJ/yr
Final Energy|Other Sector|Solids|Biomass,EJ/yr
Final Energy|Other Sector|Solids|Biomass|Traditional,EJ/yr
Final Energy|Other Sector|Solids|Coal,EJ/yr
Final Energy|Residential and Commercial,EJ/yr
Final Energy|Residential and Commercial|Appliances,EJ/yr
Final Energy|Residential and Commercial|Commercial,EJ/yr
Final Energy|Residential and Commercial|Commercial|Appliances,EJ/yr
Final Energy|Residential and Commercial|Commercial|Cooling,EJ/yr
Final Energy|Residential and Commercial|Commercial|Electricity,EJ/yr
Final Energy|Residential and Commercial|Commercial|Gases,EJ/yr
Final Energy|Residential and Commercial|Commercial|Heat,EJ/yr
Final Energy|Residential and Commercial|Commercial|Heating,EJ/yr
Final Energy|Residential and Commercial|Commercial|Heating|Cooking,EJ/yr
Final Energy|Residential and Commercial|Commercial|Heating|Space,EJ/yr
Final Energy|Residential and Commercial|Commercial|Heating|Water,EJ/yr
Final Energy|Residential and Commercial|Commercial|Hydrogen,EJ/yr
Final Energy|Residential and Commercial|Commercial|Lighting,EJ/yr
Final Energy|Residential and Commercial|Commercial|Liquids,EJ/yr
Final Energy|Residential and Commercial|Commercial|Other,EJ/yr
Final Energy|Residential and Commercial|Commercial|Solids,EJ/yr
Final Energy|Residential and Commercial|Commercial|Solids|Biomass,EJ/yr
Final Energy|Residential and Commercial|Commercial|Solids|Biomass|Traditional,EJ/yr
Final Energy|Residential and Commercial|Commercial|Solids|Coal,EJ/yr
Final Energy|Residential and Commercial|Commercial|Water|Desalination,EJ/yr
Final Energy|Residential and Commercial|Cooling,EJ/yr
Final Energy|Residential and Commercial|Electricity,EJ/yr
Final Energy|Residential and Commercial|Gases,EJ/yr
Final Energy|Residential and Commercial|Heat,EJ/yr
Final Energy|Residential and Commercial|Heating,EJ/yr
Final Energy|Residential and Commercial|Heating|Cooking,EJ/yr
Final Energy|Residential and Commercial|Heating|Space,EJ/yr
Final Energy|Residential and Commercial|Heating|Water,EJ/yr
Final Energy|Residential and Commercial|Hydrogen,EJ/yr
Final Energy|Residential and Commercial|Lighting,EJ/yr
Final Energy|Residential and Commercial|Liquids,EJ/yr
Final Energy|Residential and Commercial|Other,EJ/yr
Final Energy|Residential and Commercial|Residential,EJ/yr
Final Energy|Residential and Commercial|Residential|Appliances,EJ/yr
Final Energy|Residential and Commercial|Residential|Cooling,EJ/yr
Final Energy|Residential and Commercial|Residential|Electricity,EJ/yr
Final Energy|Residential and Commercial|Residential|Gases,EJ/yr
Final Energy|Residential and Commercial|Residential|Heat,EJ/yr
Final Energy|Residential and Commercial|Residential|Heating,EJ/yr
Final Energy|Residential and Commercial|Residential|Heating|Cooking,EJ/yr
Final Energy|Residential and Commercial|Residential|Heating|Space,EJ/yr
Final Energy|Residential and Commercial|Residential|Heating|Water,EJ/yr
Final Energy|Residential and Commercial|Residential|Hydrogen,EJ/yr
Final Energy|Residential and Commercial|Residential|Lighting,EJ/yr
Final Energy|Residential and Commercial|Residential|Liquids,EJ/yr
Final Energy|Residential and Commercial|Residential|Other,EJ/yr
Final Energy|Residential and Commercial|Residential|Solids,EJ/yr
Final Energy|Residential and Commercial|Residential|Solids|Biomass,EJ/yr
Final Energy|Residential and Commercial|Residential|Solids|Biomass|Traditional,EJ/yr
Final Energy|Residential and Commercial|Residential|Solids|Coal,EJ/yr
Final Energy|Residential and Commercial|Solids,EJ/yr
Final Energy|Residential and Commercial|Solids|Biomass,EJ/yr
Final Energy|Residential and Commercial|Solids|Biomass|Traditional,EJ/yr
Final Energy|Residential and Commercial|Solids|Coal,EJ/yr
Final Energy|Solar,EJ/yr
Final Energy|Solids,EJ/yr
Final Energy|Solids|Biomass,EJ/yr
Final Energy|Solids|Biomass|Traditional,EJ/yr
Final Energy|Solids|Coal,EJ/yr
Final Energy|Transportation,EJ/yr
Final Energy|Transportation|Aviation,EJ/yr
Final Energy|Transportation|Aviation|Freight,EJ/yr
Final Energy|Transportation|Aviation|Passenger,EJ/yr
Final Energy|Transportation|Electricity,EJ/yr
Final Energy|Transportation|Freight,EJ/yr
Final Energy|Transportation|Freight|Electricity,EJ/yr
Final Energy|Transportation|Freight|Gases,EJ/yr
Final Energy|Transportation|Freight|Gases|Bioenergy,EJ/yr
Final Energy|Transportation|Freight|Gases|Fossil,EJ/yr
Final Energy|Transportation|Freight|Hydrogen,EJ/yr
Final Energy|Transportation|Freight|Liquids,EJ/yr
Final Energy|Transportation|Freight|Liquids|Bioenergy,EJ/yr
Final Energy|Transportation|Freight|Liquids|Fossil synfuel,EJ/yr
Final Energy|Transportation|Freight|Liquids|Oil,EJ/yr
Final Energy|Transportation|Freight|Other,EJ/yr
Final Energy|Transportation|Gases,EJ/yr
Final Energy|Transportation|Gases|Bioenergy,EJ/yr
Final Energy|Transportation|Gases|Fossil,EJ/yr
Final Energy|Transportation|Hydrogen,EJ/yr
Final Energy|Transportation|Liquids,EJ/yr
Final Energy|Transportation|Liquids|Bioenergy,EJ/yr
Final Energy|Transportation|Liquids|Coal,EJ/yr
Final Energy|Transportation|Liquids|Fossil synfuel,EJ/yr
Final Energy|Transportation|Liquids|Natural Gas,EJ/yr
Final Energy|Transportation|Liquids|Oil,EJ/yr
Final Energy|Transportation|Maritime,EJ/yr
Final Energy|Transportation|Other,EJ/yr
Final Energy|Transportation|Passenger,EJ/yr
Final Energy|Transportation|Passenger|Electricity,EJ/yr
Final Energy|Transportation|Passenger|Gases,EJ/yr
Final Energy|Transportation|Passenger|Gases|Bioenergy,EJ/yr
Final Energy|Transportation|Passenger|Gases|Fossil,EJ/yr
Final Energy|Transportation|Passenger|Hydrogen,EJ/yr
Final Energy|Transportation|Passenger|Liquids,EJ/yr
Final Energy|Transportation|Passenger|Liquids|Bioenergy,EJ/yr
Final Energy|Transportation|Passenger|Liquids|Fossil synfuel,EJ/yr
Final Energy|Transportation|Passenger|Liquids|Oil,EJ/yr
Final Energy|Transportation|Passenger|Other,EJ/yr
Final Energy|Transportation|Rail,EJ/yr
Final Energy|Transportation|Rail|Freight,EJ/yr
Final Energy|Transportation|Rail|Passenger,EJ/yr
Final Energy|Transportation|Road|Freight,EJ/yr
Final Energy|Transportation|Road|Freight|Electric,EJ/yr
Final Energy|Transportation|Road|Freight|FC,EJ/yr
Final Energy|Transportation|Road|Freight|ICE,EJ/yr
Final Energy|Transportation|Road|Passenger,EJ/yr
Final Energy|Transportation|Road|Passenger|2W&3W,EJ/yr
Final Energy|Transportation|Road|Passenger|Bus,EJ/yr
Final Energy|Transportation|Road|Passenger|LDV,EJ/yr
Food Demand,kcal/cap/day
Food Demand|Crops,kcal/cap/day
Food Demand|Livestock,kcal/cap/day
Food Energy Supply,EJ/yr
Food Energy Supply|Livestock,EJ/yr
Forcing,W/m2
Forcing|Aerosol,W/m2
Forcing|Aerosol|BC,W/m2
Forcing|Aerosol|Black and Organic Carbon,W/m2
Forcing|Aerosol|Cloud Indirect,W/m2
Forcing|Aerosol|OC,W/m2
Forcing|Aerosol|Other,W/m2
Forcing|Aerosol|Sulfate Direct,W/m2
Forcing|Albedo Change and Mineral Dust,W/m2
Forcing|CH4,W/m2
Forcing|CO2,W/m2
Forcing|F-Gases,W/m2
Forcing|Kyoto Gases,W/m2
Forcing|Montreal Gases,W/m2
Forcing|N2O,W/m2
Forcing|Other,W/m2
Forcing|Tropospheric Ozone,W/m2
Forestry Demand|Roundwood,million m3/yr
Forestry Demand|Roundwood|Industrial Roundwood,million m3/yr
Forestry Demand|Roundwood|Wood Fuel,million m3/yr
Forestry Production|Roundwood,million m3/yr
Forestry Production|Roundwood|Industrial Roundwood,million m3/yr
Forestry Production|Roundwood|Wood Fuel,million m3/yr
GDP|MER,billion US$2010/yr
GDP|PPP,billion US$2010/yr
GDP|PPP,billion Int$2010/yr
Human Toxicity|Electricity,"Mt 1,4-DCB-eq"
Import,billion US$2010/yr
Import|Agriculture,billion US$2010/yr
Import|Energy,billion US$2010/yr
Import|Industry,billion US$2010/yr
Import|Industry|Energy,billion US$2010/yr
Import|Industry|Energy Intensive,billion US$2010/yr
Import|Industry|Manufacturing,billion US$2010/yr
Import|Other,billion US$2010/yr
Interest Rate|Real,%
Investment,billion US$2010/yr
Investment|Energy Demand|Transportation|Freight|Road|HDT|EV,billion US$2010/yr
Investment|Energy Demand|Transportation|Freight|Road|HDT|ICE,billion US$2010/yr
Investment|Energy Demand|Transportation|Passenger|Road|LDV|EV,billion US$2010/yr
Investment|Energy Demand|Transportation|Passenger|Road|LDV|FCV,billion US$2010/yr
Investment|Energy Demand|Transportation|Passenger|Road|LDV|ICE,billion US$2010/yr
Investment|Energy Efficiency,billion US$2010/yr
Investment|Energy Supply,billion US$2010/yr
Investment|Energy Supply|CO2 Transport and Storage,billion US$2010/yr
Investment|Energy Supply|Electricity,billion US$2010/yr
Investment|Energy Supply|Electricity|Biomass,billion US$2010/yr
Investment|Energy Supply|Electricity|Biomass|w/ CCS,billion US$2010/yr
Investment|Energy Supply|Electricity|Biomass|w/o CCS,billion US$2010/yr
Investment|Energy Supply|Electricity|Coal,billion US$2010/yr
Investment|Energy Supply|Electricity|Coal|w/ CCS,billion US$2010/yr
Investment|Energy Supply|Electricity|Coal|w/o CCS,billion US$2010/yr
Investment|Energy Supply|Electricity|Electricity Storage,billion US$2010/yr
Investment|Energy Supply|Electricity|Fossil,billion US$2010/yr
Investment|Energy Supply|Electricity|Gas,billion US$2010/yr
Investment|Energy Supply|Electricity|Gas|w/ CCS,billion US$2010/yr
Investment|Energy Supply|Electricity|Gas|w/o CCS,billion US$2010/yr
Investment|Energy Supply|Electricity|Geothermal,billion US$2010/yr
Investment|Energy Supply|Electricity|Hydro,billion US$2010/yr
Investment|Energy Supply|Electricity|Non-Biomass Renewables,billion US$2010/yr
Investment|Energy Supply|Electricity|Non-fossil,billion US$2010/yr
